NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
"NEW ULM 0.8 NW, MN US",2011,,,,,,,2.12,,,24.66,,,,
"NEW ULM 0.8 NW, MN US",2012,,,,,,,2.77,,,26.71,,,,
"NEW ULM 0.8 NW, MN US",2013,,,,,,,2.08,,,30.77,,,,
"NEW ULM 0.8 NW, MN US",2014,,,,,,,3.72,,,37.01,,,,
"NEW ULM 0.8 NW, MN US",2015,,,,,,,4.22,,,40.38,,,,
"NEW ULM 0.8 NW, MN US",2016,,,,,,,3.54,,,45.49,,,,
"NEW ULM 0.8 NW, MN US",2017,,,,,,,3.3,,,34.02,,,,
"NEW ULM 0.8 NW, MN US",2018,,,,,,,2.61,,,47.12,,,,
"MORGAN, MN US",2005,,,11,,,7,,,,,35.6,,,
"MORGAN, MN US",2006,,,5,,,6,,,,,15.3,,,
"MORGAN, MN US",2007,,,11,,,8,4.8,,,34.64,43.6,,,
"MORGAN, MN US",2008,,112,19,,12,6,1.65,,,27.43,43.9,,,
"MORGAN, MN US",2009,,93,20,,25,7,2.1,,,26.58,58.5,,,
"MORGAN, MN US",2010,,114,20,,24,11,2.75,,,42.39,69,,,
"SPRINGFIELD 1.7 NNW, MN US",2016,,,,,,,2.72,,,39.65,,,,
"SPRINGFIELD 1.7 NNW, MN US",2017,,,,,,,3.56,,,33.78,,,,
"SPRINGFIELD 1.7 NNW, MN US",2018,,,,,,,2.29,,,39.7,,,,
"VESTA, MN US",1970,,119,14,,16,8,1.66,,,30.06,38.5,,,
"VESTA, MN US",1971,,109,16,,12,10,1.48,,,22.25,39.4,,,
"VESTA, MN US",1972,,84,15,,12,4,2.14,,,26.61,30.7,,,
"VESTA, MN US",1973,,43,10,,10,4,6.13,,,23.74,22.5,,,
"VESTA, MN US",1974,,62,7,,9,3,1.62,,,19.43,16,,,
"VESTA, MN US",1975,,,,,,,2.01,,,22.62,,,,
"VESTA, MN US",1976,,,,,,,1.72,,,11.7,,,,
"VESTA, MN US",1977,,,16,,,9.2,2.31,,,37.19,60.9,,,
"VESTA, MN US",1978,,,,,,,2.51,,,23.44,,,,
"VESTA, MN US",1979,,,19,,,7.8,2.64,,,37.31,69.4,,,
"VESTA, MN US",1980,,,,,,,1.75,,,22.19,,,,
"VESTA, MN US",1981,,,,,,,1.79,,,28.5,,,,
"VESTA, MN US",1982,,,,,,,3.51,,,36.69,,,,
"VESTA, MN US",1983,,,,,,,2.9,,,27,,,,
"VESTA, MN US",1984,,,,,,,1.91,,,30.59,,,,
"VESTA, MN US",1985,,,16,,,11,3.25,,,35.74,68.7,,,
"VESTA, MN US",1987,,,6,,,8,1.83,,,22.98,20.5,,,
"VESTA, MN US",1989,,,,,,,2.47,,,22.17,,,,
"VESTA, MN US",1990,,,7,,,4.5,3.4,,,30.04,19.4,,,
"VESTA, MN US",1991,,,10,,,10,2.85,,,44.19,37.3,,,
"VESTA, MN US",1992,,,14,,,4.8,,,,,29.6,,,
"VESTA, MN US",1998,,,15,,,4.5,1.7,,,26.76,34,,,
"VESTA, MN US",1999,,,12,,,8,3.25,,,21.22,34.4,,,
"VESTA, MN US",2000,,,12,,,8,3.5,,,29.13,42,,,
"VESTA, MN US",2001,,,7,,,8,3,,,29.54,22,,,
"VESTA, MN US",2002,,,11,,,4,2.93,,,25.99,31.5,,,
"VESTA, MN US",2004,,,,,,,2.9,,,27.01,,,,
"VESTA, MN US",2005,,,11,,,8,,,,,31.9,,,
"VESTA, MN US",2007,,,12,,,14,4.25,,,29.14,50.6,,,
"VESTA, MN US",2008,,,18,,,6,1.54,,,24.9,45.6,,,
"VESTA, MN US",2009,,,17,,,6,1.64,,,25.62,59,,,
"VESTA, MN US",2010,,,14,,,9,2.5,,,35.98,61,,,
"VESTA, MN US",2011,,,,,,,2.16,,,23.03,,,,
"VESTA, MN US",2012,,,,,,,2.88,,,25.48,,,,
"VESTA, MN US",2013,,,,,,,1.6,,,23.44,,,,
"VESTA, MN US",2014,,,,,,,3.71,,,25.83,,,,
"VESTA, MN US",2015,,,10,,,6,2.48,,,27.61,32.6,,,
"VESTA, MN US",2016,,,15,,,8,2.89,,,33.61,39,,,
