Year,Period,Week Ending,Geo Level,State,State ANSI,Commodity,Data Item,Value
2019,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,310,000"
2019,YEAR - AUG FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,400,000"
2019,YEAR - JUN ACREAGE,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,500,000"
2019,YEAR - NOV FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,310,000"
2019,YEAR - OCT FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,310,000"
2019,YEAR - SEP FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,400,000"
2018,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,490,000"
2018,YEAR - AUG FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,400,000"
2018,YEAR - JUN ACREAGE,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,400,000"
2018,YEAR - NOV FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,450,000"
2018,YEAR - OCT FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,450,000"
2018,YEAR - SEP FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,400,000"
2017,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,630,000"
2017,YEAR - AUG FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,550,000"
2017,YEAR - JUN ACREAGE,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,550,000"
2017,YEAR - NOV FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,650,000"
2017,YEAR - OCT FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,650,000"
2017,YEAR - SEP FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,550,000"
2016,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2016,YEAR - AUG FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2016,YEAR - JUN ACREAGE,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2016,YEAR - NOV FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2016,YEAR - OCT FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2016,YEAR - SEP FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2015,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,600,000"
2015,YEAR - AUG FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,750,000"
2015,YEAR - JUN ACREAGE,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,750,000"
2015,YEAR - NOV FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,750,000"
2015,YEAR - OCT FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,750,000"
2015,YEAR - SEP FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,750,000"
2014,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,550,000"
2014,YEAR - AUG FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2014,YEAR - JUN ACREAGE,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2014,YEAR - NOV FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,800,000"
2014,YEAR - OCT FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,800,000"
2014,YEAR - SEP FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2013,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,140,000"
2013,YEAR - AUG FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,200,000"
2013,YEAR - NOV FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,100,000"
2013,YEAR - SEP FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,200,000"
2012,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,330,000"
2012,YEAR - AUG FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,250,000"
2012,YEAR - JUN ACREAGE,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,250,000"
2012,YEAR - NOV FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,250,000"
2012,YEAR - OCT FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,250,000"
2012,YEAR - SEP FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,250,000"
2011,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,700,000"
2010,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,300,000"
2009,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,150,000"
2008,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,200,000"
2007,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,850,000"
2006,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,850,000"
2005,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,850,000"
2004,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,050,000"
