Year,Geo Level,State,County,Data Item,Value
2018,COUNTY,MINNESOTA,COTTONWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","28,265,000"
2018,COUNTY,MINNESOTA,COTTONWOOD,"CORN, SILAGE - ACRES HARVESTED","1,270"
2018,COUNTY,MINNESOTA,JACKSON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","30,937,000"
2018,COUNTY,MINNESOTA,JACKSON,"CORN, SILAGE - ACRES HARVESTED",230
2018,COUNTY,MINNESOTA,LYON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","31,837,000"
2018,COUNTY,MINNESOTA,MURRAY,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","28,392,000"
2018,COUNTY,MINNESOTA,NOBLES,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","33,218,000"
2018,COUNTY,MINNESOTA,NOBLES,"CORN, SILAGE - ACRES HARVESTED","2,130"
2018,COUNTY,MINNESOTA,OTHER (COMBINED) COUNTIES,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","36,168,000"
2018,COUNTY,MINNESOTA,OTHER (COMBINED) COUNTIES,"CORN, SILAGE - ACRES HARVESTED","38,970"
2018,COUNTY,MINNESOTA,REDWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","38,662,000"
2018,COUNTY,MINNESOTA,ROCK,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","21,949,000"
2017,COUNTY,MINNESOTA,COTTONWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","36,528,000"
2017,COUNTY,MINNESOTA,COTTONWOOD,"CORN, SILAGE - ACRES HARVESTED","1,720"
2017,COUNTY,MINNESOTA,JACKSON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","37,495,000"
2017,COUNTY,MINNESOTA,LINCOLN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","17,413,000"
2017,COUNTY,MINNESOTA,LYON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","33,299,000"
2017,COUNTY,MINNESOTA,MURRAY,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","34,093,000"
2017,COUNTY,MINNESOTA,NOBLES,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","39,848,000"
2017,COUNTY,MINNESOTA,OTHER (COMBINED) COUNTIES,"CORN, SILAGE - ACRES HARVESTED","44,880"
2017,COUNTY,MINNESOTA,PIPESTONE,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","19,681,000"
2017,COUNTY,MINNESOTA,REDWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","45,606,000"
2017,COUNTY,MINNESOTA,ROCK,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","26,999,000"
