year|state_code|state|county_code|county|crop_code|crop|plan_code|plan|stage_code|damage_cause_code|damage_description|month|month_abbr|acres|indemnity
2007|27|MN|001|Aitkin|0041|CORN|90||UH|11|Drought|07|JUL|265.2000000000|22460.6000000000
2007|27|MN|001|Aitkin|0041|CORN|44||UH|11|Drought|08|AUG|31.8000000000|6075.0000000000
2007|27|MN|001|Aitkin|0041|CORN|90||H|11|Drought|06|JUN|201.2500000000|17297.7000000000
2007|27|MN|001|Aitkin|0041|CORN|25||H|11|Drought|07|JUL|213.5700000000|48041.0000000000
2007|27|MN|001|Aitkin|0041|CORN|25||UH|11|Drought|07|JUL|474.6900000000|105539.2000000000
2007|27|MN|001|Aitkin|0041|CORN|44||UH|11|Drought|06|JUN|31.8000000000|6075.0000000000
2007|27|MN|001|Aitkin|0041|CORN|90||UH|21|Hail|08|AUG|2.0000000000|202.4000000000
2007|27|MN|001|Aitkin|0041|CORN|25||UH|21|Hail|08|AUG|31.1800000000|5069.8000000000
2007|27|MN|001|Aitkin|0041|CORN|90||H|21|Hail|08|AUG|86.2500000000|7413.3000000000
2007|27|MN|001|Aitkin|0041|CORN|90||H|41|Frost|07|JUL|12.0000000000|167.0000000000
2007|27|MN|001|Aitkin|0041|CORN|25||H|42|Freeze|09|SEP|91.5300000000|20589.0000000000
2007|27|MN|001|Aitkin|0041|CORN|90||R|93|Wildlife|05|MAY|6.2000000000|151.0000000000
2007|27|MN|003|Anoka|0041|CORN|25||H|01|Decline in Price|12|DEC|.4520000000|78.0000000000
2007|27|MN|003|Anoka|0041|CORN|25||H|01|Decline in Price|07|JUL|71.5000000000|231.0000000000
2007|27|MN|003|Anoka|0041|CORN|25||H|11|Drought|06|JUN|323.1480000000|28311.0000000000
2007|27|MN|003|Anoka|0041|CORN|25||UH|11|Drought|07|JUL|60.7200000000|16088.8000000000
2007|27|MN|003|Anoka|0041|CORN|25||H|11|Drought|07|JUL|1620.5000000000|273008.0000000000
2007|27|MN|003|Anoka|0041|CORN|90||UH|11|Drought|08|AUG|92.5000000000|15390.0000000000
2007|27|MN|003|Anoka|0041|CORN|25||H|11|Drought|08|AUG|20.5000000000|1120.0000000000
2007|27|MN|003|Anoka|0041|CORN|44||H|11|Drought|07|JUL|320.9000000000|50874.0000000000
2007|27|MN|003|Anoka|0041|CORN|90||H|11|Drought|10|OCT|6.5000000000|90.5000000000
2007|27|MN|003|Anoka|0041|CORN|90||H|11|Drought|06|JUN|6.5000000000|90.5000000000
2007|27|MN|003|Anoka|0041|CORN|25||UH|21|Hail|07|JUL|127.7000000000|7082.0000000000
2007|27|MN|003|Anoka|0041|CORN|25||UH|21|Hail|08|AUG|12.4800000000|3631.2000000000
2007|27|MN|005|Becker|0041|CORN|25||H|01|Decline in Price|10|OCT|58.0000000000|234.0000000000
2007|27|MN|005|Becker|0041|CORN|25||UH|11|Drought|07|JUL|173.8000000000|26512.0000000000
2007|27|MN|005|Becker|0041|CORN|90||H|11|Drought|08|AUG|72.2000000000|3998.0000000000
2007|27|MN|005|Becker|0041|CORN|90||UH|11|Drought|08|AUG|158.1500000000|7795.5000000000
2007|27|MN|005|Becker|0041|CORN|25||UH|11|Drought|08|AUG|89.3000000000|18319.0000000000
2007|27|MN|005|Becker|0041|CORN|90||H|11|Drought|07|JUL|80.9900000000|3210.0000000000
2007|27|MN|005|Becker|0041|CORN|90||UH|11|Drought|07|JUL|760.6000000000|74017.0000000000
2007|27|MN|005|Becker|0041|CORN|25||UH|11|Drought|06|JUN|113.0000000000|27939.0000000000
2007|27|MN|005|Becker|0041|CORN|90||H|11|Drought|06|JUN|72.2000000000|3998.0000000000
2007|27|MN|005|Becker|0041|CORN|25||H|11|Drought|08|AUG|181.9000000000|10516.0000000000
2007|27|MN|005|Becker|0041|CORN|44||H|11|Drought|07|JUL|241.1000000000|24304.0000000000
2007|27|MN|005|Becker|0041|CORN|25||H|11|Drought|07|JUL|766.2000000000|75043.0000000000
2007|27|MN|005|Becker|0041|CORN|90||UH|11|Drought|06|JUN|227.8500000000|11269.5000000000
2007|27|MN|005|Becker|0041|CORN|25||H|11|Drought|06|JUN|119.7000000000|23218.0000000000
2007|27|MN|005|Becker|0041|CORN|90||UH|12|Heat|07|JUL|107.9000000000|18140.0000000000
2007|27|MN|005|Becker|0041|CORN|25||H|12|Heat|07|JUL|39.3000000000|905.0000000000
2007|27|MN|005|Becker|0041|CORN|25||H|21|Hail|07|JUL|199.9800000000|8240.4000000000
2007|27|MN|005|Becker|0041|CORN|25||H|21|Hail|08|AUG|630.6200000000|65452.6000000000
2007|27|MN|005|Becker|0041|CORN|25||P2|31|Excess Moisture/Precipitation/Rain|06|JUN|16.0000000000|1773.0000000000
2007|27|MN|005|Becker|0041|CORN|90||H|31|Excess Moisture/Precipitation/Rain|07|JUL|56.4800000000|5000.0000000000
2007|27|MN|005|Becker|0041|CORN|90||P2|31|Excess Moisture/Precipitation/Rain|05|MAY|21.7000000000|905.0000000000
2007|27|MN|005|Becker|0041|CORN|25||H|31|Excess Moisture/Precipitation/Rain|06|JUN|20.0000000000|806.0000000000
2007|27|MN|005|Becker|0041|CORN|90||H|31|Excess Moisture/Precipitation/Rain|06|JUN|18.0000000000|281.0000000000
2007|27|MN|005|Becker|0041|CORN|90||UH|41|Frost|08|AUG|13.9000000000|2044.0000000000
2007|27|MN|007|Beltrami|0041|CORN|90||H|11|Drought|07|JUL|28.0000000000|703.0000000000
2007|27|MN|007|Beltrami|0041|CORN|25||UH|11|Drought|07|JUL|55.2000000000|8800.0000000000
2007|27|MN|007|Beltrami|0041|CORN|90||UH|11|Drought|07|JUL|163.7000000000|9151.0000000000
2007|27|MN|007|Beltrami|0041|CORN|90||H|41|Frost|09|SEP|39.0000000000|2006.0000000000
2007|27|MN|007|Beltrami|0041|CORN|25||UH|93|Wildlife|09|SEP|13.8000000000|2200.0000000000
2007|27|MN|009|Benton|0041|CORN|25||H|01|Decline in Price|12|DEC|1.1000000000|115.5000000000
2007|27|MN|009|Benton|0041|CORN|25||UH|01|Decline in Price|12|DEC|2.2620000000|423.1800000000
2007|27|MN|009|Benton|0041|CORN|90||P|11|Drought|07|JUL|.5000000000|.0000000000
2007|27|MN|009|Benton|0041|CORN|90||UH|11|Drought|08|AUG|456.6700000000|70675.0000000000
2007|27|MN|009|Benton|0041|CORN|25||H|11|Drought|07|JUL|12697.8100000000|1746751.9000000000
2007|27|MN|009|Benton|0041|CORN|25||UH|11|Drought|08|AUG|830.8400000000|287753.6000000000
2007|27|MN|009|Benton|0041|CORN|44||UH|11|Drought|07|JUL|725.9800000000|146586.6000000000
2007|27|MN|009|Benton|0041|CORN|90||H|11|Drought|06|JUN|804.2600000000|77803.4000000000
2007|27|MN|009|Benton|0041|CORN|44||H|11|Drought|06|JUN|344.3000000000|57391.0000000000
2007|27|MN|009|Benton|0041|CORN|25||H|11|Drought|06|JUN|1880.7000000000|302037.5000000000
2007|27|MN|009|Benton|0041|CORN|25||H|11|Drought|09|SEP|419.1500000000|71709.0000000000
2007|27|MN|009|Benton|0041|CORN|25||UH|11|Drought|06|JUN|2594.9080000000|530965.3200000000
2007|27|MN|009|Benton|0041|CORN|25||UH|11|Drought|09|SEP|34.8000000000|10192.0000000000
2007|27|MN|009|Benton|0041|CORN|44||H|11|Drought|08|AUG|87.8000000000|12439.0000000000
2007|27|MN|009|Benton|0041|CORN|44||UH|11|Drought|06|JUN|554.9600000000|104986.0000000000
2007|27|MN|009|Benton|0041|CORN|90||H|11|Drought|07|JUL|1273.3000000000|72221.2000000000
2007|27|MN|009|Benton|0041|CORN|90||UH|11|Drought|07|JUL|1843.9700000000|237316.1000000000
2007|27|MN|009|Benton|0041|CORN|90||H|11|Drought|08|AUG|441.2650000000|10826.2000000000
2007|27|MN|009|Benton|0041|CORN|90||UH|11|Drought|06|JUN|359.3800000000|35900.4000000000
2007|27|MN|009|Benton|0041|CORN|25||H|11|Drought|05|MAY|35.6500000000|6883.5000000000
2007|27|MN|009|Benton|0041|CORN|25||H|11|Drought|08|AUG|281.0000000000|52833.8000000000
2007|27|MN|009|Benton|0041|CORN|25||UH|11|Drought|07|JUL|7327.6700000000|1806117.9000000000
2007|27|MN|009|Benton|0041|CORN|44||H|11|Drought|07|JUL|437.8600000000|37049.1500000000
2007|27|MN|009|Benton|0041|CORN|25||H|12|Heat|07|JUL|279.6000000000|24978.0000000000
2007|27|MN|009|Benton|0041|CORN|90||H|12|Heat|07|JUL|73.6500000000|1886.4000000000
2007|27|MN|009|Benton|0041|CORN|25||UH|12|Heat|07|JUL|63.0000000000|13555.0000000000
2007|27|MN|009|Benton|0041|CORN|25||H|21|Hail|07|JUL|33.4400000000|3406.6000000000
2007|27|MN|009|Benton|0041|CORN|25||UH|21|Hail|07|JUL|45.5400000000|6755.8000000000
2007|27|MN|009|Benton|0041|CORN|90||H|21|Hail|08|AUG|481.2750000000|47635.8000000000
2007|27|MN|009|Benton|0041|CORN|25||H|21|Hail|06|JUN|33.7000000000|936.0000000000
2007|27|MN|009|Benton|0041|CORN|25||UH|21|Hail|08|AUG|598.7600000000|162545.2000000000
2007|27|MN|009|Benton|0041|CORN|44||H|21|Hail|08|AUG|71.0800000000|10617.8500000000
2007|27|MN|009|Benton|0041|CORN|90||UH|21|Hail|08|AUG|69.6500000000|13496.5000000000
2007|27|MN|009|Benton|0041|CORN|25||H|21|Hail|08|AUG|958.0800000000|170678.2000000000
2007|27|MN|009|Benton|0041|CORN|44||UH|21|Hail|08|AUG|58.0200000000|12472.4000000000
2007|27|MN|009|Benton|0041|CORN|73||FL|55|GRP/GRIP  Crops Only`|04|APR|6831.2800000000|1849573.0000000000
2007|27|MN|009|Benton|0041|CORN|12||FL|55|GRP/GRIP  Crops Only`|04|APR|1072.7000000000|134024.0000000000
2007|27|MN|011|Big Stone|0041|CORN|25||H|01|Decline in Price|12|DEC|157.3470000000|7204.0000000000
2007|27|MN|011|Big Stone|0041|CORN|25||H|11|Drought|08|AUG|804.2810000000|53239.4600000000
2007|27|MN|011|Big Stone|0041|CORN|25||H|11|Drought|12|DEC|129.2350000000|14355.0000000000
2007|27|MN|011|Big Stone|0041|CORN|44||H|11|Drought|07|JUL|112.3200000000|9113.0000000000
2007|27|MN|011|Big Stone|0041|CORN|90||UH|11|Drought|07|JUL|93.8000000000|669.0000000000
2007|27|MN|011|Big Stone|0041|CORN|25||UH|11|Drought|08|AUG|445.7500000000|94986.7000000000
2007|27|MN|011|Big Stone|0041|CORN|25||H|11|Drought|11|NOV|1553.9800000000|193986.0000000000
2007|27|MN|011|Big Stone|0041|CORN|25||H|11|Drought|01|JAN|132.5500000000|26911.5000000000
2007|27|MN|011|Big Stone|0041|CORN|25||UH|11|Drought|07|JUL|394.6000000000|137910.0000000000
2007|27|MN|011|Big Stone|0041|CORN|90||H|11|Drought|07|JUL|58.0000000000|1341.0000000000
2007|27|MN|011|Big Stone|0041|CORN|25||H|11|Drought|09|SEP|72.0500000000|3599.0000000000
2007|27|MN|011|Big Stone|0041|CORN|25||H|11|Drought|10|OCT|855.4050000000|77392.5000000000
2007|27|MN|011|Big Stone|0041|CORN|25||H|11|Drought|06|JUN|1176.5270000000|109146.6400000000
2007|27|MN|011|Big Stone|0041|CORN|25||UH|11|Drought|06|JUN|38.2500000000|3515.5000000000
2007|27|MN|011|Big Stone|0041|CORN|44||H|11|Drought|08|AUG|70.7000000000|3890.0000000000
2007|27|MN|011|Big Stone|0041|CORN|25||H|11|Drought|04|APR|538.7255000000|66823.2000000000
2007|27|MN|011|Big Stone|0041|CORN|25||H|11|Drought|07|JUL|7226.0500000000|902203.2000000000
2007|27|MN|011|Big Stone|0041|CORN|25||H|21|Hail|06|JUN|350.3295000000|37646.2000000000
2007|27|MN|011|Big Stone|0041|CORN|25||R|31|Excess Moisture/Precipitation/Rain|05|MAY|190.9300000000|6202.0000000000
2007|27|MN|011|Big Stone|0041|CORN|25||H|31|Excess Moisture/Precipitation/Rain|06|JUN|340.0000000000|39935.0000000000
2007|27|MN|011|Big Stone|0041|CORN|25||P2|31|Excess Moisture/Precipitation/Rain|05|MAY|456.7000000000|109800.0000000000
2007|27|MN|011|Big Stone|0041|CORN|25||PT|31|Excess Moisture/Precipitation/Rain|05|MAY|31.8000000000|9426.0000000000
2007|27|MN|011|Big Stone|0041|CORN|90||P2|31|Excess Moisture/Precipitation/Rain|05|MAY|25.2100000000|5841.0000000000
2007|27|MN|011|Big Stone|0041|CORN|25||R|31|Excess Moisture/Precipitation/Rain|06|JUN|17.7000000000|575.0000000000
2007|27|MN|011|Big Stone|0041|CORN|44||R|31|Excess Moisture/Precipitation/Rain|05|MAY|14.1100000000|458.0000000000
2007|27|MN|011|Big Stone|0041|CORN|25||P2|31|Excess Moisture/Precipitation/Rain|06|JUN|26.0000000000|6340.0000000000
2007|27|MN|011|Big Stone|0041|CORN|44||P2|31|Excess Moisture/Precipitation/Rain|05|MAY|78.7000000000|22269.0000000000
2007|27|MN|011|Big Stone|0041|CORN|25||R|31|Excess Moisture/Precipitation/Rain|04|APR|17.7000000000|575.0000000000
2007|27|MN|011|Big Stone|0041|CORN|25||H|31|Excess Moisture/Precipitation/Rain|05|MAY|467.0500000000|57165.9000000000
2007|27|MN|011|Big Stone|0041|CORN|73||FL|55|GRP/GRIP  Crops Only`|04|APR|376.6000000000|12688.0000000000
2007|27|MN|011|Big Stone|0041|CORN|25||UH|61|Wind/Excess Wind|08|AUG|28.8000000000|5596.8000000000
2007|27|MN|011|Big Stone|0041|CORN|25||H|61|Wind/Excess Wind|08|AUG|123.2800000000|10516.4000000000
2007|27|MN|011|Big Stone|0041|CORN|25||R|71|Insects|05|MAY|20.0000000000|650.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|25||H|01|Decline in Price|11|NOV|3.0200000000|378.4000000000
2007|27|MN|013|Blue Earth|0041|CORN|44||H|01|Decline in Price|10|OCT|109.5000000000|6346.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|25||H|01|Decline in Price|12|DEC|61.0000000000|2101.1600000000
2007|27|MN|013|Blue Earth|0041|CORN|44||H|01|Decline in Price|11|NOV|54.0600000000|759.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|44||H|11|Drought|12|DEC|357.9000000000|40662.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|25||H|11|Drought|05|MAY|357.2000000000|30961.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|25||H|11|Drought|08|AUG|1379.1000000000|198326.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|25||H|11|Drought|12|DEC|33.8000000000|1699.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|44||H|11|Drought|07|JUL|8034.0300000000|800014.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|90||UH|11|Drought|07|JUL|3.4000000000|1031.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|25||H|11|Drought|06|JUN|82.2900000000|8389.6000000000
2007|27|MN|013|Blue Earth|0041|CORN|25||UH|11|Drought|09|SEP|25.0000000000|2774.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|44||H|11|Drought|10|OCT|46.0000000000|4837.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|44||UH|11|Drought|12|DEC|19.8000000000|3623.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|25||UH|11|Drought|07|JUL|63.0000000000|9154.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|44||UH|11|Drought|07|JUL|160.0000000000|20179.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|90||H|11|Drought|07|JUL|262.9000000000|7504.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|25||H|11|Drought|07|JUL|3884.1400000000|350058.0400000000
2007|27|MN|013|Blue Earth|0041|CORN|44||H|11|Drought|06|JUN|787.3000000000|16377.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|44||H|11|Drought|09|SEP|111.5000000000|4308.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|25||H|11|Drought|09|SEP|497.1000000000|23615.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|25||H|11|Drought|10|OCT|463.2000000000|25517.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|44||H|11|Drought|08|AUG|825.6000000000|40663.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|44||H|11|Drought|11|NOV|283.5000000000|102000.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|44||UH|11|Drought|06|JUN|20.0000000000|5618.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|25||H|11|Drought|11|NOV|185.1500000000|57018.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|25||H|12|Heat|06|JUN|41.0650000000|9426.0000000000
2007|27|MN|013|Blue Earth|0041|CORN|25||H|12|Heat|07|JUL|65.5750000000|14415.3000000000
2007|27|MN|013|Blue Earth|0041|CORN|25||H|21|Hail|06|JUN|256.9000000000|20396.0000000000
